product_category_name,review_comment_message,label
bed_bath_table,Produto bom. A torneira só é alta demais.,1
housewares,Produto de ótima qualidade e entrega rápida.,1
housewares,Não confiavel,1
housewares,Chegou no prazo correto e muito bem embalado. Gostei muito! Parabéns a loja!!!,1
housewares,Interessante este produto amei,1
housewares,Não entregou o pedido até hoje.,1
housewares,"Achei o material muito frágil, esperava melhor qualidade do produto.
Comprei recentemente um produto similar que motivou esta compra, mas infelizmente não foi o que eu esperava.
 ",1
housewares,"são muito mal para atener os seus clientes, não entregam a mercadoria no prazo.",1
housewares,"lannister sempre eficiente. Entrega super rápida.
Produto de excelente qualidade",1
housewares,Eu compraria novamente,1
housewares,Muito bom produto. Entrega demorou em razão da greve dos caminhoneiros.,1
housewares,"eu que retirei no correio, eu paguei o carreto e não me entregarão. Não gostei da atitude.",1
housewares,"Produto chegou em ótimo estado,o envio foi bem antes do previsto.Recomendo.",1
housewares,"Comprei um carregador portátil de celular ele estava ligado na caixa, estragado não encaixa o cabo usb porta USB esta saltando, arranhado tb na trazeira. Aguardando a troca. ",1
housewares,"Bom produto,entregue antes do prazo.",1
housewares,Equipe baratheon está de parabéns !!! Comparei mais vezes indicarei para as pessoas que conheço forte abraço a todos !,1
housewares,Recomendo muito ,1
housewares,Consta na NF 2 itens orem apenas 1 foi entregue. Ja solicitei informaçao sobre o item faltante.,1
housewares,"Produto veio recem pintado com verniz com um cheiro muito forte impossível de usar para a função , coar café . ",1
housewares,Não utilizei mais gostei do que recebi,1
housewares,Produto entregue antes do prazo é o conjunto muito lindo. ,1
housewares,esperava uma qualidade melhor do produto ,1
housewares,Produto de qualidade e entregue dentro do prazo,1
housewares,"Compramos e efetuamos o pagamento para 2 e recebemos somente 1..
Estamos aguardando retorno quanto ao email enviado qdo no recebimento do mesmo.
Não recebemos a nota fiscal da compra também.

Att",1
housewares,Bom,1
housewares,"Recebi o produto dentro do prazo. Mas solicitei o reeembolso e vou fazer a devolução pois o produto nao confere com o mostrado no site, não tem o nome do mickey dentro e a xícara esta mal pintada.",1
housewares,"produto bom, só não pode colocar muita roupa",1
housewares,estou aguardando posicionamento da loja sobre a entrega,1
housewares,Muita demora na entrega,1
housewares,A parceira da lannister entregou a encomenda muito rapidamente !,1
housewares,Não recebi nem uma satisfação pelo atraso,1
housewares,"Espero receber esta semana, o que não seria tão extravagante, porém...mais atrazo do que isso me faria desistir do baratheon.",1
housewares,"Panela de boa qualidade, só faltou um puxador na panela que vai o pudim",1
housewares,Gostei do produto. Eu recomendo.,1
housewares,"Eu estou muito feliz com, os produtos da loja americana, pois tudo que eu comprei chegaram no prazo. Estou muito agradecida.
Obrigado loja americana",1
housewares,Comprei o produto em 20/02/2017; o prazo para entrega era até 17/03: hoje é 21/03 e ainda não recebi.,1
housewares,Parabéns! À entrega foi feita com sucesso . Estou muito satisfeita! ,1
housewares,Chegou no prazo e um ótimo produto ,1
housewares,"o produto veio incompleto, foram duas bandeijas e so foi entregue uma, e a nota fiscal vei cobrando o valor de duas constando so um item na mesma, muito insatisfeito",1
housewares,Otimo,1
housewares,"Gostei muito!
Produto ótimo! ",1
housewares,"Gostei muito , entregaram rápido , antes até do combinado muito bom ....",1
housewares,muito bom,1
housewares,Recomendo a loja e o produto ,1
housewares,"Bom dia, não recebi o produto tive que ir nos correios buscar, fiquei chateada porque paguei o frete é isso sempre está acontecendo , nao só com sua loja como com outras frustrada por ser enganada.",1
housewares,"LOJA CONFIAVEL, MAS AINDA NÃO RECEBI O PRODUTO",1
housewares,Meu pedido continha dois produtos comercializados pela targaryen. Apenas o saca-rolhas chegou. As prateleiras para livros infantis Quarto Bebê-60 cm - 2 peças ainda não chegaram.,1
housewares,"tudo conforme anunciado, entrega no prazo, rocomendo",1
housewares,Produto excelente.,1
housewares,"A cafeteira é muito bonita, de vidro, é resistente e fácil de limpar. A tampa é de plástico duro, coberta por uma pintura metálica, seria melhor se fosse de metal, mas, pelo menos, a qualidade é boa.",1
housewares,Entrega correta e antes do prazo acertado.,1
housewares,N/a,1
housewares,Não posso opinar pois.o produto veio quebrado,1
housewares,"Gostei muito, recomendo a outra pessoa.",1
housewares,Como sempre mas que pontual ,1
housewares,"Está constando que a mercadoria foi entrega, porém não recebi nada ...",1
housewares,"Eu recebi o produto,mas fiquei muita chateada da forma como ele estava quando abri a embalagem...o produto estava um pouco danificado, estava descascado, arranhado.",1
housewares,Muito bom,1
housewares,"Ótima loja para parceria: rápidíssima, produtos bem embalados e de qualidade! Só o custo do frete que foi meio azedo.",1
housewares,"Olha , gostei muito das coisas que tem na loja. Pena que a lixeira não foi como eu esperava. Mas é bonita então dei de presente para minha irmã que se mudou agora é ",1
housewares,Produto veio avariado e até o momento não entraram em contato para troca. ,1
housewares,Foi tudo ok,1
housewares,"Ainda vou vê se chega a tempo marcado
Aguardando minha encomenda",1
housewares,Prazo para entrega muito longo.,1
housewares,"não fiquei satisfeita com a qualidade do produto, a panela vaza muito vapor e agua durante o cozimento.",1
housewares,tudo aconteceu como o previsto,1
housewares," Ainda nao recebi, nao posso tecer mais comentarios .

Att,",1
housewares,produto chegou antes do prazo. excelente material superou minhas expectativas.,1
housewares,"Produto e entrava sensacionais!!!
",1
housewares,Não recebi ainda o produto,1
housewares,O produto é de boa qualidade chegou em bem antes do prazo convencionado e eu recomendaria sem dúvida Parabéns aos empreendedores!,1
housewares,Tudo perfeito,1
housewares,estamos juntos e misturados.,1
housewares,Parabéns pela rapidez na entrega.,1
housewares,So fiquei na dúvida em relação a outros itens...pw comprei 4 ...chegou 2...cd produto tem um número é isso???Ainda faltam 2...como fiz a compra junto pensei Q chegariam juntos...mas estou satisfeita👍,1
housewares,Comprei duas unidades e só recebi uma até agora. Entrei em contato com a targaryen e disseram que está a caminho a outra unidade. Estou aguardando. ,1
housewares,"Qualidade ruim, produto não é original.",1
housewares,"Produto um tanto pequeno,potes sem boa vedação na tampa.",1
housewares,"Este produto veio certo, mas comprei uma coifa e quero devolver e não estou conseguindo. Não estou tendo assistência ",1
housewares,"Foi entregue antes do prazo, site super confiável.",1
housewares,o led do produto não acende,1
housewares,"previsão de entrega será até 28/07, não posso opinar sobre este serviço prestado pois estamos no dia 03/07 hoje. Não recebi mais feedback do fornecedor até no momento, obrigado!",1
housewares,É lamentável. Nenhum comunicado sobre o motivo de tanta demora,1
housewares,OTIMO PRODUTO,1
housewares,Ótimo produto,1
housewares,"até hoje não recebi dois produtos...
o pedido foi feito em novembro e estou no aguardo...",1
housewares,"O produto não atendeu minhas espectativas, pois os potinhos são dificeis de abrir e fechar e a bandeja onde vai os potinhos veio com pontos de ferrugem",1
housewares,Chegou antes do prazo dado é o produto em ótima qualidade. ,1
housewares,"Me mandaram os potes vermelho, comprei preto....",1
housewares,"O produto veio correto, porém um dos potes vieram com o imã do lado errado. E a parte de solda do gancho veio marcado. Fora isso gostei do produto, so devem dar um pouco mais de atenção aos detalhes",1
housewares,Tenho uma observação à fazer. A seladora veio com um dos parafusos quebrado.,1
housewares,Ótima compra! Entrega rápida! Priduto de qualidade!,1
housewares,"Gostaria de saber a quem e como reclamar para receber o produto correto.
Grata.",1
housewares,Tudo perfeito!,1
housewares,só acharia que deverão de mandar dois refis de gelo para estar sempre trocando,1
housewares,Boa ,1
housewares,"Muito ruim ... Comprei 02 Kits e foi entregue somente 1 Kit de cabide, porém, no rastreamento constam que foram entregues os 2 produtos e não consegui contato com o vendedor targaryen",1
housewares,"Estou avaliando o fator entrega de mercadoria, ainda não instalei o produto para ter uma avaliação completa",1
housewares,"Apesar do atraso, recomendo sim.",1
housewares,...,1
housewares,Produto entregue antes do prazo. Excelente!,1
housewares,"Recebi meu produto bastante rápido, comprei em um dia e recebi no dia seguinte. Maravilha!!!!!!!",1
housewares,"Produto lindo, mas é um pouco frágil, na foto parecia mais resistente.
Entrega nota 10",1
housewares,Não recebi meu produto ainda!,1
housewares,"Muito bom, atendeu o prazo e entregou o produto com integridade garantida. Parabéns!!!",1
housewares,"MUITO BOM, ENCOMENDA CHEGOU CERTINHA",1
housewares,"O gaveteiro veio com a cor errada, comprei cor rosa pink, tal como abunciada, mas chegou na cor rosa bebê. ",1
housewares,Tudo entregue em perfeitas condições.,1
housewares,o produto veio com a tabua quebrada,1
housewares,Produto ficou aquém das minhas expectativas porque é menor do que eu pensava ser.,1
housewares,"Chegou tudo certo, dentro do prazo",1
housewares,"O produto foi entregue antes do prazo, gostei da tábua de carne só fiquei chateada q a bandeja de baixo não é um material bom, veio um pouquinho amassada. Mas um bom produto",1
housewares,Não entrega no prazo,1
housewares,"Não recebi, então não posso opinar ",1
housewares,Gostei,1
housewares,Ótimo trabalho parabéns para equipe...,1
housewares,Entregue bem antes do prazo! Produto chegou em perfeitas condições! ,1
housewares,Produto muito frágil,1
housewares,Exelente produto ,1
housewares,Meu pedido chegou faltando um item.,1
housewares,"O produto parece frágil. E veio arranhado, pois estava mal embalado.",1
housewares,"No site da lannister a data de entrega seria 04/01, mas no código de rastreio o produto foi postado no correio no dia 04/01, ou seja, o produto ainda está em trânsito no dia de hoje 06/01. ",1
housewares,tudo ótimo! recebi o produto antes da data prevista. em perfeitas condições. nota 1000.🤗,1
housewares,Estou esperando há mais de vinte dias e ainda não recebi meu produto e não consigo nenhuma informação. ,1
housewares,FUNCIONA BEM TE SOMENTE UMA ESCOVA,1
housewares,Muito bom o produto,1
housewares,"Adorei, a qualidade é excelente ",1
housewares,Muito bonito e funcional. Gostei.,1
housewares,Tudo certo,1
housewares,Recebi outro produto no lugar....a nota fiscal veio correta com a descrição porém quando abri a embalagem mandaram um prato de bolo de vidro com tampa. Aguardo a lannister resolver o problema. ,1
housewares,O produto veio com diversos pontos mal soldado com riscos e amassados.,1
housewares,"Loja eficiente,entrega correta e antes do prazo.",1
housewares,"Tudo como anunciado!
",1
housewares,Muito bom ,1
housewares,O produto só serve para limpar poeira e pelos de animal e o ruim é que o cabo fica soltando porque a rosca veio sem encaixar direito,1
housewares,"Não recebi a grelha comprada. Gostaria de saber o que está ocorrendo.


",1
housewares,Sdds ,1
housewares,"Por favor, peço que chequem o porque do produto não ter sido entregue.",1
housewares,Produto muito bom e com material resistente.,1
housewares,não recebi o item caixas organizadoras,1
housewares,"Chegou intacto. O porta escova não tem como vc abrir e limpar internamente, é uma peça inteira. Tirando isso que não gostei,atende minhas necessidades. ",1
housewares,"Avental realmente bonito e diferente. Tecido bem incorpado e de boa qualidade.Cores menos viv
as que no site,mas ainda assim, bonito,de 
qualidade e confortável.Fecho na nuca com botões de pressão.",1
housewares,aaa,1
housewares,"Entrega muito rápida e o produto é de qualidade, além de lindo ",1
housewares,"Não recebi o produto, se até o dia 28/05 não tiver resposta vou procurar o procom",1
housewares,"Entendo que pode haver um lapso na hora da remessa, pois o produto veio na cor errada. Entretanto prefiro aguardar as providências para uma avaliação, pelo critério de comprometimento com o cliente.",1
housewares,"Super recomendo a compra e a loja, chegou dentro do prazo, super bem embrulhado, sem nenhum defeito. Amei!",1
housewares,"Não entendo o que está acontecendo, me parecia uma compra e um produto bem simples.",1
